,Gender,Age,Education,Party,Race,Region,Marital,RACESURV10,RACESURV11,RACESURV6,RACESURV7,RACESURV20,RACESURV22
697,1,3,2,1,3,4,1,2,2,1,3,3,3
698,2,3,3,2,2,4,1,2,2,2,2,2,2
699,2,2,1,2,2,3,6,2,2,2,2,2,2
702,1,1,3,3,2,3,1,1,3,1,1,2,1
704,2,3,3,99,2,3,1,2,2,1,3,3,3
705,1,1,1,2,3,3,2,2,2,1,3,2,1
706,1,3,3,2,3,4,1,2,2,2,3,3,4
707,1,3,3,2,3,4,1,1,3,2,3,3,3
708,1,3,2,2,3,1,3,2,3,1,3,2,3
712,2,2,2,2,3,4,1,2,2,2,2,2,4
714,2,4,2,2,2,3,5,2,2,2,2,2,3
716,2,3,2,2,2,2,6,2,2,99,3,2,4
719,1,4,3,3,3,4,1,99,2,99,2,2,4
720,1,2,1,4,3,4,1,2,2,2,3,3,3
722,2,3,2,2,2,3,1,2,2,2,3,3,2
723,2,3,3,2,2,3,4,2,2,2,3,2,4
727,1,3,1,2,2,2,6,2,2,2,1,1,4
731,1,4,3,2,2,1,4,2,3,1,2,3,3
742,1,3,2,1,3,4,1,1,1,1,2,3,2
745,2,1,1,2,2,3,1,2,2,1,2,3,3
748,2,1,1,1,3,4,6,2,3,2,3,2,3
753,2,3,2,2,3,3,3,1,2,2,2,2,3
754,1,3,3,2,2,3,4,2,1,1,2,3,3
757,2,3,2,2,2,3,5,2,2,2,3,2,4
758,1,2,1,2,3,3,6,2,2,2,3,2,3
760,1,2,3,4,3,4,1,1,3,2,4,3,4
762,1,3,2,3,3,3,6,2,3,2,3,3,4
763,2,3,1,99,3,3,6,99,2,1,4,3,4
764,2,2,3,3,3,3,1,2,3,1,4,3,4
765,2,1,2,2,3,3,6,2,2,2,3,2,2
766,1,2,3,4,2,2,6,2,1,2,3,2,2
767,2,4,2,2,2,3,3,2,2,2,2,2,4
768,1,3,3,2,2,3,1,2,2,2,2,1,1
769,2,2,3,2,2,3,1,2,2,2,1,3,4
773,2,2,3,2,3,4,1,1,1,2,2,1,2
774,2,3,2,2,2,2,1,2,3,2,3,3,4
776,1,3,2,1,2,1,1,2,3,2,3,2,3
777,2,4,2,3,2,3,1,2,2,2,2,2,2
780,1,1,2,3,3,4,6,1,1,1,4,3,4
781,1,2,3,2,3,3,1,1,2,2,3,2,2
783,1,3,3,2,2,1,2,2,3,2,3,2,3
785,2,1,2,3,2,3,1,2,2,2,2,2,2
786,1,3,1,3,3,4,6,2,2,2,3,3,3
787,2,4,1,99,3,1,3,2,2,2,3,2,2
788,1,3,2,4,3,1,3,2,2,2,2,1,4
795,1,4,3,2,3,1,3,1,3,2,3,2,3
798,2,1,3,2,3,3,6,2,2,2,3,2,2
799,1,4,2,3,2,2,4,1,2,2,2,2,4
800,1,2,1,2,2,3,1,2,2,2,1,1,1
801,1,2,3,99,2,3,3,99,99,99,99,99,99
804,2,4,3,1,2,2,1,1,1,2,3,3,4
806,2,3,2,1,2,3,4,1,2,2,2,2,4
808,2,3,3,4,2,2,1,2,2,2,4,3,4
809,2,3,2,3,3,3,3,2,3,2,3,2,4
811,2,2,3,99,2,3,6,99,3,2,2,99,2
814,2,4,3,2,2,3,4,1,1,2,3,3,3
815,1,2,3,2,3,4,1,1,2,1,3,3,3
816,1,2,3,2,2,3,2,1,2,2,2,2,3
817,1,3,3,1,3,4,1,1,1,1,4,3,4
818,2,3,2,2,3,4,1,2,2,2,2,3,4
819,1,4,1,2,3,2,1,2,1,2,2,3,4
